"Cidade","População"
"Itagibá","14579"
"Lajedo do Tabocal","15665"
"Maragogipe","44677"
"Miguel Calmon","26023"
"Palmeiras","9019"
"São Francisco do Conde","39802"
"São José da Vitória","5657"
"Vitória da Conquista","338480"
"Altamira do Maranhão","8128"
"Araioses","46440"
"Cajari","19379"
"Duque Bacelar","11349"
"Fortaleza dos Nogueiras","12631"
"Maranhãozinho","16265"
"Porto Rico do Maranhão","5975"
"Rosário","42740"
"Santa Helena","48019"
"Trizidela do Vale","21998"
"Amarante","17598"
"Caracol","10916"
"Cocal de Telha","4891"
"Colônia do Piauí","7656"
"Demerval Lobão","13817"
"Inhuma","15308"
"Ipiranga do Piauí","9811"
"Itaueira","11019"
"Júlio Borges","5627"
"Lagoa do Barro do Piauí","4655"
"Oeiras","37029"
"Palmeirais","14539"
"Santa Luz","5860"
"Simplício Mendes","12711"
"Uruçuí","21558"
"Várzea Grande","4391"
"Alto Santo","17146"
"Apuiarés","14600"
"Araripe","21600"
"Arneiroz","7840"
"Assaré","23417"
"Bela Cruz","32591"
"Campos Sales","27426"
"Cariré","18448"
"Carnaubal","17606"
"Guaraciaba do Norte","40642"
"Hidrolândia","19978"
"Ibaretama","13353"
"Independência","26178"
"Itapiúna","20382"
"Milhã","13155"
"Nova Olinda","15565"
"Palhano","9386"
"Pires Ferreira","10951"
"Potengi","11045"
"São Luís do Curu","13000"
"Tururu","16271"
"Viçosa do Ceará","60889"
"Açu","58017"
"Alto do Rodrigues","14529"
"Areia Branca","46316"
"Brejinho","12699"
"Canguaretama","34276"
"Jaçanã","9133"
"Nova Cruz","37343"
"Pedro Velho","14806"
"Riachuelo","18341"
"Santa Cruz","55072"
"Santo Antônio","24136"
"Touros","33287"
"São João do Rio do Peixe","18034"
"Baía da Traição","8993"
"Bananeiras","21318"
"Cajazeiras","61993"
"Coremas","15445"
"Cuitegi","6803"
"Duas Estradas","3596"
"Juarez Távora","7936"
"Juazeirinho","18171"
"Marizópolis","6617"
"Matinhas","4500"
"Natuba","10454"
"Nova Floresta","10638"
"Pedras de Fogo","28458"
"Santa Teresinha","14978"
"Águas Belas","43443"
"Barra de Guabiraba","14385"
"Cabrobó","34221"
"Capoeiras","20048"
"Caruaru","361118"
"Cumaru","10906"
"Frei Miguelinho","15457"
"Ibirajuba","7762"
"Ipubi","30854"
"Itapissuma","26651"
"Jaboatão dos Guararapes","702298"
"Macaparana","25376"
"Panelas","26474"
"Pesqueira","67395"
"Poção","11302"
"Quixaba","6813"
"Sanharó","26462"
"Santa Cruz do Capibaribe","107937"
"Tamandaré","23388"
"Vitória de Santo Antão","138757"
"Inhapi","18385"
"Junqueiro","24727"
"Olho d'Água das Flores","21688"
"Paripueira","13176"
"Piaçabuçu","17827"
"Quebrangulo","11294"
"Santa Luzia do Norte","7296"
"São Miguel dos Milagres","7951"
"Satuba","13828"
"Canindé de São Francisco","29900"
"Carira","22082"
"Gracho Cardoso","5818"
"Indiaroba","17957"
"Pedrinhas","9602"
"Propriá","29626"
"Riachão do Dantas","19805"
"Acajutiba","15159"
"Amargosa","37241"
"Anguera","11221"
"Barra","53578"
"Barra do Choça","31603"
"Barreiras","155439"
"Boa Vista do Tupim","18576"
"Camacan","31988"
"Conceição do Coité","66612"
"Eunápolis","113380"
"Ibirapitanga","23375"
"Ipirá","59595"
"Itabuna","213223"
"Itacaré","28296"
