"Cidade","População"
"Santo Antônio do Tauá","31482"
"São Francisco do Pará","15882"
"São Geraldo do Araguaia","24847"
"São João de Pirabas","23045"
"Senador José Porfírio","11658"
"Uruará","45476"
"Vigia","53686"
"Serra do Navio","5397"
"Cutias","5983"
"Ferreira Gomes","7780"
"Oiapoque","27270"
"Alvorada","8412"
"Aurora do Tocantins","3757"
"Axixá do Tocantins","9756"
"Buriti do Tocantins","11348"
"Couto Magalhães","5588"
"Lizarda","3740"
"Ponte Alta do Tocantins","8039"
"São Bento do Tocantins","5324"
"Nova Brasilândia D'Oeste","20474"
"Ouro Preto do Oeste","36035"
"Rolim de Moura","55058"
"Novo Horizonte do Oeste","8538"
"Cujubim","25215"
"Mirante da Serra","10947"
"Primavera de Rondônia","2856"
"Acrelândia","15256"
"Apuí","21973"
"Carauari","28294"
"Lábrea","46069"
"Santo Antônio do Içá","21602"
"Tabatinga","65844"
"Pacaraima","17401"
"Aurora do Pará","31338"
"Barcarena","124680"
"Bragança","127686"
"Bujaru","29132"
"Curuçá","40066"
"Itaituba","101247"
"Jacundá","59155"
"Novo Progresso","25762"
"Paragominas","113145"
"Parauapebas","208273"
"Ponta de Pedras","31082"
"Santana do Araguaia","72817"
"Santarém","304589"
"São Domingos do Capim","31989"
"Tucuruí","113659"
"Viseu","61403"
"Xinguara","44751"
"Amapá","9109"
"Calçoene","11117"
"Vitória do Jari","15931"
"Abreulândia","2579"
"Aguiarnópolis","6733"
"Barrolândia","5632"
"Colinas do Tocantins","35424"
"Gurupi","86647"
"Maurilândia do Tocantins","3426"
"Nova Rosalândia","4260"
"Paraíso do Tocantins","51252"
"São Miguel do Tocantins","12139"
